feature,importance,relative
units,529717.5083860029,71.0
tract_area_unitxunit,83956.172997877,11.0
block_area,41235.31572411768,6.0
block_area_unit,15085.577156353742,2.0
lidar_area,10738.225612403825,1.0
value_imprv,8779.685715638101,1.0
beds,4336.1037459746,1.0
tract_area_lidar_areaxlidar_area,8055.894652295858,1.0
tract_value_imprv,268.39515247382224,0.0
tract_area_unit,537.1664735898376,0.0
tract_area_lidar_area,382.07595256716013,0.0
tract_unit_lidar_area,229.13359452411532,0.0
tract_area_imprvximprv,3405.413231022656,0.0
tract_area_imprv,277.12926963344216,0.0
tract_unit_imprv,297.8568274807185,0.0
tract_unit_elct,366.65426312945783,0.0
tract_area_elct,0.0,0.0
tract_n,357.98144998028874,0.0
tract_units,253.4370431881398,0.0
tract_area_elctxelct,609.4678645748645,0.0
tract_unit_imprvximprv,655.8301198072731,0.0
tract_unit_lidar_areaxlidar_area,752.7248133867979,0.0
tract_yr_built,336.7754237651825,0.0
tract_unit_elctxelct,0.0,0.0
block_yr_built,724.4909097794443,0.0
block_units,1471.6230920776725,0.0
block_value_imprv,657.7768344394863,0.0
block_area_lidar_area,2742.8744602426887,0.0
block_unit_lidar_area,397.01776526495814,0.0
block_area_imprv,1843.3248729538172,0.0
block_unit_imprv,605.600425221026,0.0
block_unit_elct,609.7670362312347,0.0
tract_area,225.83419082686305,0.0
county_n,537.866082938388,0.0
tract,900.1940992567688,0.0
floors,1945.6208230145276,0.0
buildings,582.661480627954,0.0
lidar_buildings,2086.571697158739,0.0
lidar_units,1149.2028005030006,0.0
yr_built,3282.1901971492916,0.0
elctm,2013.931243505329,0.0
gasm,1410.073537696153,0.0
s_lat,816.9815091080964,0.0
s_lon,839.5507798716426,0.0
pool,80.85741701349616,0.0
common,65.81501135602593,0.0
code_area,0.0,0.0
code_units,379.3055959790945,0.0
code_value_imprv,1.1709850803017616,0.0
code_area_unit,1745.3450513221323,0.0
code_area_lidar_area,608.4588938802481,0.0
code_unit_lidar_area,227.56488090753555,0.0
code_area_imprv,3.2695077061653137,0.0
code_unit_imprv,60.63794545084238,0.0
code_unit_elct,102.91797610372305,0.0
code_area_elct,0.0,0.0
code_area_unitxunit,0.0,0.0
code_area_imprvximprv,0.0,0.0
code_unit_imprvximprv,3310.511524077505,0.0
code_area_lidar_areaxlidar_area,0.0,0.0
code_unit_lidar_areaxlidar_area,168.06324110925198,0.0
code_area_elctxelct,615.0432403422892,0.0
code_unit_elctxelct,0.0,0.0
block_area_elct,0.0,0.0
