feature,importance,relative
beds,34244.92883467674,56.0
lidar_buildings,10436.574532806873,17.0
floors,4462.937373161316,7.0
areax_tract_area_unit,1914.0137639939785,3.0
area,1464.8283657431602,2.0
units,1093.3391505032778,2.0
gasm,460.3336382806301,1.0
code_area_lidar_area,524.8822991997004,1.0
common,417.64727064967155,1.0
s_lon,443.10672786831856,1.0
yr_built,661.653163254261,1.0
tract_unit_lidar_area,705.6830137968063,1.0
tract_unit_imprv,75.39324097335339,0.0
tract_area_lidar_areaxlidar_area,36.1153380125761,0.0
tract_unit_elct,102.9644561111927,0.0
tract_area_imprv,114.88013315200806,0.0
tract_area_elct,0.0,0.0
tract_n,79.17556531727314,0.0
tract_area_unitxunit,170.76983407139778,0.0
tract_area_lidar_area,197.98965200781822,0.0
tract_area_imprvximprv,93.57308639585972,0.0
tract_unit_imprvximprv,100.95887811481953,0.0
block_yr_built,234.0415582805872,0.0
tract_unit_lidar_areaxlidar_area,25.886883914470673,0.0
tract_area_elctxelct,99.10767479240894,0.0
tract_unit_elctxelct,0.0,0.0
tract_value_imprv,70.87593907117844,0.0
block_area,82.14464315772057,0.0
block_units,88.18146586418152,0.0
block_value_imprv,87.05442455410957,0.0
block_area_unit,144.51289635896683,0.0
block_area_lidar_area,82.33431473374367,0.0
block_unit_lidar_area,46.31560575962067,0.0
block_area_imprv,118.40850964188576,0.0
block_unit_imprv,125.87063100934029,0.0
block_unit_elct,110.62900561094284,0.0
tract_area_unit,106.85269513726234,0.0
county_n,263.9834194779396,0.0
tract_units,128.14244571328163,0.0
tract_area,115.48075741529465,0.0
value_imprv,186.08468548953533,0.0
lidar_area,151.41278865933418,0.0
lidar_units,247.1743735820055,0.0
elctm,130.1330314874649,0.0
s_lat,222.8937188088894,0.0
pool,30.156866312026978,0.0
code_area,0.0,0.0
code_units,0.0,0.0
code_value_imprv,1.7055699825286865,0.0
code_area_unit,0.27981099486351013,0.0
code_unit_lidar_area,168.53295812010765,0.0
code_area_imprv,0.0,0.0
code_unit_imprv,6.684655994176865,0.0
code_unit_elct,94.65661334991455,0.0
code_area_elct,0.0,0.0
code_area_unitxunit,0.0,0.0
areax_code_area_unit,0.5151650011539459,0.0
code_area_imprvximprv,0.0,0.0
code_unit_imprvximprv,0.20520199835300446,0.0
code_area_lidar_areaxlidar_area,0.0,0.0
code_unit_lidar_areaxlidar_area,0.0,0.0
code_area_elctxelct,0.0,0.0
code_unit_elctxelct,0.0,0.0
tract,134.4596241414547,0.0
tract_yr_built,117.9670116007328,0.0
block_area_elct,0.0,0.0
