feature,importance,relative
county_n,3781.3119443058968,29.0
area,2336.5992100201547,18.0
areax_tract_area_unit,1239.9367140606046,9.0
buildings,834.1941663622856,6.0
tract_yr_built,507.21496491134167,4.0
lidar_units,500.8316351696849,4.0
yr_built,413.45479672029614,3.0
s_lon,386.5672567822039,3.0
value_imprv,348.2367125675082,3.0
block_value_imprv,94.55990594625473,1.0
block_yr_built,72.2345233336091,1.0
tract_area_elctxelct,76.17761984840035,1.0
units,187.63170973584056,1.0
tract_unit_imprvximprv,66.91812479496002,1.0
block_unit_lidar_area,85.10323799774051,1.0
tract_area_unitxunit,149.2912239022553,1.0
tract_unit_lidar_area,67.26406581699848,1.0
tract_area_lidar_area,180.56171561032534,1.0
tract_value_imprv,101.21037616580725,1.0
block_unit_elct,74.9477186575532,1.0
tract,159.12999641895294,1.0
beds,117.9006096161902,1.0
common,93.34502016752958,1.0
lidar_buildings,184.13465374708176,1.0
s_lat,168.14537095278502,1.0
code_area_imprv,0.12967100739479065,0.0
tract_unit_elctxelct,0.0,0.0
tract_n,51.14762486517429,0.0
tract_area_imprvximprv,56.350999653339386,0.0
pool,7.2641540467739105,0.0
tract_area_lidar_areaxlidar_area,39.781906094402075,0.0
tract_unit_lidar_areaxlidar_area,55.51889315247536,0.0
gasm,62.863536067306995,0.0
tract_unit_elct,54.923824205994606,0.0
block_area,55.07250712066889,0.0
block_units,28.325389690697193,0.0
elctm,63.643950801342726,0.0
block_area_unit,57.431874103844166,0.0
block_area_lidar_area,39.505046393722296,0.0
block_area_imprv,40.2137909643352,0.0
block_unit_imprv,53.26916157454252,0.0
lidar_area,63.56469211727381,0.0
tract_area_elct,0.0,0.0
tract_unit_imprv,49.27034943550825,0.0
code_unit_imprv,0.18545900285243988,0.0
tract_area_imprv,49.114421997219324,0.0
code_unit_elct,9.085723958909512,0.0
code_area_elct,0.0,0.0
code_area_unitxunit,0.0,0.0
areax_code_area_unit,0.08766990154981613,0.0
code_area_imprvximprv,0.0,0.0
code_unit_imprvximprv,0.0,0.0
code_area_lidar_areaxlidar_area,0.0,0.0
code_unit_lidar_areaxlidar_area,0.0,0.0
code_area_elctxelct,0.0,0.0
code_unit_elctxelct,0.0,0.0
code_unit_lidar_area,16.448472805321217,0.0
code_area_lidar_area,11.167044315487146,0.0
code_area_unit,0.0,0.0
tract_area,40.79964480921626,0.0
tract_units,41.13289784640074,0.0
code_value_imprv,0.6618236154317856,0.0
tract_area_unit,39.42921468243003,0.0
code_units,0.0,0.0
code_area,0.0,0.0
block_area_elct,0.0,0.0
