feature,importance,relative
buildings,156042.49094331264,49.0
floors,106934.95321512222,34.0
tract,6598.603724479675,2.0
beds,5141.972672760487,2.0
tract_value_imprv,1674.924624323845,1.0
tract_area_lidar_areaxlidar_area,2246.7011194229126,1.0
tract_area_imprvximprv,2126.4629448652267,1.0
code_area_lidar_area,4510.9653236866,1.0
tract_area_unitxunit,1917.193555355072,1.0
tract_n,2161.6158836483955,1.0
s_lon,2773.988749265671,1.0
s_lat,1691.989808857441,1.0
yr_built,2164.2943416833878,1.0
lidar_units,1637.2074332237244,1.0
tract_area_imprv,641.3901118040085,0.0
tract_unit_imprv,709.4534442424774,0.0
tract_unit_elct,794.0696084499359,0.0
tract_unit_lidar_area,205.60975766181946,0.0
tract_area_elct,0.0,0.0
areax_tract_area_unit,710.6073328256607,0.0
tract_area_lidar_area,379.1174253821373,0.0
tract_area_unit,453.26642459630966,0.0
tract_unit_imprvximprv,1191.769277870655,0.0
area,617.1295427083969,0.0
tract_unit_lidar_areaxlidar_area,1077.1938953399658,0.0
tract_area_elctxelct,1063.4242022037506,0.0
tract_units,277.42937111854553,0.0
block_yr_built,523.4473555088043,0.0
block_area,163.27378576993942,0.0
block_units,193.00608611106873,0.0
block_value_imprv,410.5885946750641,0.0
block_area_unit,578.0608572363853,0.0
block_area_lidar_area,470.87422931194305,0.0
block_unit_lidar_area,309.2964804172516,0.0
block_area_imprv,280.6158514022827,0.0
block_unit_imprv,376.3027700185776,0.0
block_unit_elct,341.1258850097656,0.0
tract_unit_elctxelct,0.0,0.0
code_unit_elctxelct,0.0,0.0
tract_area,401.75993233919144,0.0
tract_yr_built,1196.3709788918495,0.0
value_imprv,955.7753735780716,0.0
lidar_area,216.9011299610138,0.0
lidar_buildings,355.22127532958984,0.0
elctm,258.61992359161377,0.0
gasm,351.59457951784134,0.0
pool,0.0,0.0
common,68.70023989677429,0.0
code_area,0.0,0.0
code_units,214.90350151062012,0.0
code_value_imprv,24.3789005279541,0.0
code_area_unit,25.394400596618652,0.0
code_unit_lidar_area,330.6519281864166,0.0
code_area_imprv,38.43650007247925,0.0
code_unit_imprv,4.97691011428833,0.0
code_unit_elct,687.5165836811066,0.0
code_area_elct,0.0,0.0
code_area_unitxunit,5.164259910583496,0.0
areax_code_area_unit,136.83724856376648,0.0
code_area_imprvximprv,0.0,0.0
code_unit_imprvximprv,47.0222692489624,0.0
code_area_lidar_areaxlidar_area,0.0,0.0
code_unit_lidar_areaxlidar_area,22.045020580291748,0.0
code_area_elctxelct,35.43594932556152,0.0
units,916.1646584272385,0.0
county_n,1341.854813337326,0.0
block_area_elct,0.0,0.0
