feature,importance,relative
area,388855.186884176,72.0
areax_tract_area_unit,66578.03463594522,12.0
elctm,33451.84634628007,6.0
block_units,14549.374956624117,3.0
block_area_unit,9752.972190430854,2.0
block_unit_elct,3451.671494762413,1.0
gasm,5068.461148978211,1.0
tract_units,140.63371153268963,0.0
tract_value_imprv,159.32618842180818,0.0
tract_area_unit,596.6924668787979,0.0
tract_area_lidar_area,181.06904760561883,0.0
tract_area_imprvximprv,517.6446723267436,0.0
tract_unit_lidar_area,391.0851151528768,0.0
tract_area_imprv,159.1440509450622,0.0
tract_unit_imprv,170.56299591064453,0.0
tract_unit_elct,311.5122108650394,0.0
tract_area_elct,0.0,0.0
tract_n,182.66242863982916,0.0
tract_unit_lidar_areaxlidar_area,353.5215779086575,0.0
tract_unit_imprvximprv,535.9710332872346,0.0
tract_area_lidar_areaxlidar_area,279.8310904884711,0.0
tract_yr_built,236.90812904108316,0.0
tract_area_elctxelct,711.6117461305112,0.0
tract_unit_elctxelct,0.0,0.0
block_yr_built,308.34513607248664,0.0
block_area,488.87129691569135,0.0
block_value_imprv,248.8534630476497,0.0
block_area_lidar_area,253.54389620944858,0.0
block_unit_lidar_area,672.7425527526066,0.0
block_area_imprv,310.2357260179706,0.0
block_unit_imprv,497.3342692726292,0.0
tract_area,131.97995314467698,0.0
county_n,321.65091968514025,0.0
tract,438.7400697665289,0.0
floors,497.06495699845254,0.0
buildings,933.3854829985648,0.0
value_imprv,1806.7648789905943,0.0
lidar_area,422.7554192044772,0.0
lidar_buildings,113.83580538071692,0.0
lidar_units,1590.3412135331891,0.0
yr_built,1024.3278822638094,0.0
s_lat,418.15891696698964,0.0
s_lon,318.2037360793911,0.0
pool,26.347147560678422,0.0
common,150.73138470295817,0.0
code_area,207.88226250559092,0.0
code_units,0.0,0.0
code_value_imprv,5.776737552136183,0.0
code_area_unit,448.56560927815735,0.0
code_area_lidar_area,807.9364484590478,0.0
code_unit_lidar_area,357.69892121851444,0.0
code_area_imprv,17.835870772600174,0.0
code_unit_imprv,2.813219279050827,0.0
code_unit_elct,858.6817109538242,0.0
code_area_elct,0.0,0.0
areax_code_area_unit,0.0,0.0
code_area_imprvximprv,1556.6015618825331,0.0
code_unit_imprvximprv,0.0,0.0
code_area_lidar_areaxlidar_area,823.335615132004,0.0
code_unit_lidar_areaxlidar_area,0.0,0.0
code_area_elctxelct,0.0,0.0
code_unit_elctxelct,0.0,0.0
block_area_elct,0.0,0.0
