feature,importance,relative
block_value_imprv,354400.7153980136,30.0
units,323127.7086505294,27.0
area,241624.2414560914,21.0
block_area_imprv,64593.61061543226,5.0
block_unit_imprv,31656.667626678944,3.0
elctm,14193.570618748665,1.0
beds,11384.58882856369,1.0
block_yr_built,6040.673483610153,1.0
block_area,8736.400682151318,1.0
yr_built,16908.56193947792,1.0
tract_area_unitxunit,7167.165721356869,1.0
tract_area_unit,1311.9049424529076,0.0
tract_n,1804.5454605817795,0.0
tract_area_lidar_area,1428.4643713831902,0.0
tract_value_imprv,1776.8552665114403,0.0
tract_units,1201.6551856398582,0.0
tract_unit_lidar_area,1196.8812996149063,0.0
tract_area_imprv,2420.495534002781,0.0
tract_unit_imprv,1415.1821206212044,0.0
tract_unit_elct,1299.870560735464,0.0
tract_area_elct,0.0,0.0
tract_area_elctxelct,4727.802832335234,0.0
areax_tract_area_unit,4595.469342172146,0.0
tract_area_lidar_areaxlidar_area,3427.957721054554,0.0
tract_unit_lidar_areaxlidar_area,2672.586139023304,0.0
tract_yr_built,2339.8069310188293,0.0
tract_unit_elctxelct,0.0,0.0
block_units,4435.6252128481865,0.0
block_area_unit,2393.2464792132378,0.0
block_area_lidar_area,2384.3188465833664,0.0
block_unit_lidar_area,2004.7499241828918,0.0
block_unit_elct,3151.2975885868073,0.0
tract_area,989.6944773197174,0.0
county_n,2252.739658564329,0.0
tract,3093.6382027864456,0.0
code_unit_elctxelct,0.0,0.0
floors,5003.607212781906,0.0
buildings,983.6781697273254,0.0
lidar_area,4215.026252031326,0.0
lidar_buildings,314.4866141676903,0.0
lidar_units,3830.2451322972775,0.0
gasm,3305.2858630418777,0.0
s_lat,2107.346156299114,0.0
s_lon,4232.287444293499,0.0
pool,537.591623455286,0.0
common,1431.7173311710358,0.0
code_area,5119.471345603466,0.0
code_units,1825.8080390691757,0.0
code_value_imprv,0.0,0.0
code_area_unit,741.7159947156906,0.0
code_area_lidar_area,929.0835762023926,0.0
code_unit_lidar_area,423.6146187186241,0.0
code_area_imprv,522.9686771631241,0.0
code_unit_imprv,234.00873255729675,0.0
code_unit_elct,738.7451066970825,0.0
code_area_elct,0.0,0.0
code_area_unitxunit,1889.0422944426537,0.0
areax_code_area_unit,2073.4113663733006,0.0
code_area_lidar_areaxlidar_area,1353.65592700243,0.0
code_unit_lidar_areaxlidar_area,497.9223350286484,0.0
code_area_elctxelct,1854.182317495346,0.0
block_area_elct,0.0,0.0
