feature,importance,relative
block_yr_built,530420714.5669098,81.0
area,13077631.783432007,2.0
block_value_imprv,4377465.8162994385,1.0
tract_area_imprvximprv,4340684.7918396,1.0
tract_unit_imprvximprv,4450715.991149902,1.0
block_area,8330372.661392212,1.0
areax_tract_area_unit,8309128.865402222,1.0
value_imprv,6313857.565063477,1.0
tract_area_lidar_area,1625684.5342559814,0.0
tract_unit_lidar_area,1096910.8133087158,0.0
tract_area_unit,901758.7736968994,0.0
tract_area_unitxunit,2670199.0277252197,0.0
tract_value_imprv,1566644.2158050537,0.0
tract_unit_imprv,987415.3347167969,0.0
tract_unit_elct,1254549.6088409424,0.0
tract_area_elct,0.0,0.0
tract_n,2191278.104873657,0.0
tract_units,1034851.029876709,0.0
tract_area,1069735.7843017578,0.0
tract_area_imprv,1203081.2348937988,0.0
tract_area_lidar_areaxlidar_area,1887134.0818328857,0.0
tract,1836836.6102600098,0.0
tract_unit_lidar_areaxlidar_area,1793893.142211914,0.0
tract_area_elctxelct,2703472.4215393066,0.0
tract_unit_elctxelct,0.0,0.0
block_units,2724576.5817871094,0.0
block_area_unit,1949348.5128936768,0.0
block_area_lidar_area,1672891.3957061768,0.0
block_unit_lidar_area,1836368.9644012451,0.0
block_area_imprv,1609296.3582000732,0.0
block_unit_imprv,1587448.8946990967,0.0
block_unit_elct,1807134.6350402832,0.0
tract_yr_built,3235358.0442962646,0.0
county_n,2033734.4994049072,0.0
units,2250100.3935546875,0.0
code_unit_elctxelct,0.0,0.0
floors,1209361.1958312988,0.0
buildings,419982.15007019043,0.0
lidar_area,2339042.1357421875,0.0
lidar_buildings,1180271.9366149902,0.0
lidar_units,2521373.399749756,0.0
elctm,2740216.239959717,0.0
gasm,2568789.412094116,0.0
s_lat,2158052.955062866,0.0
s_lon,1836002.8175354004,0.0
pool,80243.7985534668,0.0
common,3106567.109954834,0.0
beds,1496665.5865020752,0.0
code_area,172843.86779785156,0.0
code_units,56044.85046386719,0.0
code_value_imprv,12008.146789550781,0.0
code_area_unit,155300.47296142578,0.0
code_area_lidar_area,427935.08322143555,0.0
code_unit_lidar_area,388877.14067077637,0.0
code_area_imprv,49302.97805786133,0.0
code_unit_imprv,40913.22283935547,0.0
code_unit_elct,651667.2538604736,0.0
code_area_elct,0.0,0.0
code_area_unitxunit,85660.59915161133,0.0
areax_code_area_unit,909311.8453674316,0.0
code_area_imprvximprv,465525.96907043457,0.0
code_unit_imprvximprv,1040805.7976989746,0.0
code_area_lidar_areaxlidar_area,142070.5661468506,0.0
code_unit_lidar_areaxlidar_area,304631.245513916,0.0
code_area_elctxelct,400345.1522369385,0.0
block_area_elct,0.0,0.0
